WOJEWODZTWO,MARKA,LICZBA
DOLNOŚLĄSKIE,ALFA ROMEO,47
DOLNOŚLĄSKIE,ALLIED VEHICLES LTD,1
DOLNOŚLĄSKIE,ASTON MARTIN,2
DOLNOŚLĄSKIE,AUDI,750
DOLNOŚLĄSKIE,AUSTIN,1
DOLNOŚLĄSKIE,AUTO UNION,1
DOLNOŚLĄSKIE,BAIC,35
DOLNOŚLĄSKIE,BMW,706
DOLNOŚLĄSKIE,BMW ALPINA,1
DOLNOŚLĄSKIE,BRILLIANCE,1
DOLNOŚLĄSKIE,BUICK,1
DOLNOŚLĄSKIE,BYD,26
DOLNOŚLĄSKIE,CHEVROLET,43
DOLNOŚLĄSKIE,CHRYSLER,9
DOLNOŚLĄSKIE,CITROEN,226
DOLNOŚLĄSKIE,CITROEN/CARPOL,1
DOLNOŚLĄSKIE,CUPRA,96
DOLNOŚLĄSKIE,DACIA,181
DOLNOŚLĄSKIE,DAEWOO,2
DOLNOŚLĄSKIE,DAIHATSU,2
DOLNOŚLĄSKIE,DAIMLERCHRYSLER,15
DOLNOŚLĄSKIE,DFSK,1
DOLNOŚLĄSKIE,DODGE,36
DOLNOŚLĄSKIE,DS,10
DOLNOŚLĄSKIE,FERRARI,4
DOLNOŚLĄSKIE,FIAT,157
DOLNOŚLĄSKIE,FORD,749
DOLNOŚLĄSKIE,FORD/FC AUTO SYSTEM,1
DOLNOŚLĄSKIE,FORD/GERMAZ,1
DOLNOŚLĄSKIE,GMC,1
DOLNOŚLĄSKIE,GRUAU,1
DOLNOŚLĄSKIE,HONDA,118
DOLNOŚLĄSKIE,HYUNDAI,464
DOLNOŚLĄSKIE,INFINITI,2
DOLNOŚLĄSKIE,JAECOO,50
DOLNOŚLĄSKIE,JAGUAR,16
DOLNOŚLĄSKIE,JAGUAR LAND ROVER,1
DOLNOŚLĄSKIE,JEEP,70
DOLNOŚLĄSKIE,KG MOBILITY,12
DOLNOŚLĄSKIE,KIA,352
DOLNOŚLĄSKIE,LANCIA,6
DOLNOŚLĄSKIE,LAND ROVER,71
DOLNOŚLĄSKIE,LEAPMOTOR,6
DOLNOŚLĄSKIE,LEXUS,101
DOLNOŚLĄSKIE,LINCOLN,1
DOLNOŚLĄSKIE,MASERATI,6
DOLNOŚLĄSKIE,MATRA,1
DOLNOŚLĄSKIE,MAZDA,209
DOLNOŚLĄSKIE,MCC,1
DOLNOŚLĄSKIE,MCC SMART,1
DOLNOŚLĄSKIE,MCLAREN,1
DOLNOŚLĄSKIE,MERCEDES,1
DOLNOŚLĄSKIE,MERCEDES-AMG,3
DOLNOŚLĄSKIE,MERCEDES-BENZ,529
DOLNOŚLĄSKIE,MG,54
DOLNOŚLĄSKIE,MG ROEWE,1
DOLNOŚLĄSKIE,MINI,52
DOLNOŚLĄSKIE,MITSUBISHI,55
DOLNOŚLĄSKIE,NISSAN,190
DOLNOŚLĄSKIE,OMODA,38
DOLNOŚLĄSKIE,OPEL,566
DOLNOŚLĄSKIE,OPEL/CARPOL,2
DOLNOŚLĄSKIE,PEUGEOT,274
DOLNOŚLĄSKIE,POLESTAR,1
DOLNOŚLĄSKIE,PONTIAC,1
DOLNOŚLĄSKIE,PORSCHE,44
DOLNOŚLĄSKIE,RAM,3
DOLNOŚLĄSKIE,RENAULT,321
DOLNOŚLĄSKIE,RENAULT/CARPOL,9
DOLNOŚLĄSKIE,ROLLS-ROYCE,1
DOLNOŚLĄSKIE,SAAB,6
DOLNOŚLĄSKIE,SEAT,171
DOLNOŚLĄSKIE,SKODA,648
DOLNOŚLĄSKIE,SMART,21
DOLNOŚLĄSKIE,SSANGYONG,8
DOLNOŚLĄSKIE,SUBARU,29
DOLNOŚLĄSKIE,SUZUKI,113
DOLNOŚLĄSKIE,TESLA,25
DOLNOŚLĄSKIE,TOYOTA,788
DOLNOŚLĄSKIE,TOYOTA/CARPOL,3
DOLNOŚLĄSKIE,TOYOTA/STEELER,1
DOLNOŚLĄSKIE,TRIUMPH,2
DOLNOŚLĄSKIE,VAUXHALL,3
DOLNOŚLĄSKIE,VOLKSWAGEN,984
DOLNOŚLĄSKIE,VOLVO,359
DOLNOŚLĄSKIE,WOŁGA,1
KUJAWSKO-POMORSKIE,ALFA ROMEO,6
KUJAWSKO-POMORSKIE,ALPINE,1
KUJAWSKO-POMORSKIE,AM GENERAL,3
KUJAWSKO-POMORSKIE,AUDI,393
KUJAWSKO-POMORSKIE,BAIC,14
KUJAWSKO-POMORSKIE,BENTLEY,2
KUJAWSKO-POMORSKIE,BMW,360
KUJAWSKO-POMORSKIE,BYD,19
KUJAWSKO-POMORSKIE,CADILLAC,2
KUJAWSKO-POMORSKIE,CHEVROLET,27
KUJAWSKO-POMORSKIE,CHRYSLER,8
KUJAWSKO-POMORSKIE,CITROEN,138
KUJAWSKO-POMORSKIE,CITROEN/CARPOL,1
KUJAWSKO-POMORSKIE,CUPRA,64
KUJAWSKO-POMORSKIE,DACIA,111
KUJAWSKO-POMORSKIE,DAIHATSU,5
KUJAWSKO-POMORSKIE,DAIMLER,1
KUJAWSKO-POMORSKIE,DAIMLERCHRYSLER,10
KUJAWSKO-POMORSKIE,DODGE,18
KUJAWSKO-POMORSKIE,DS,7
KUJAWSKO-POMORSKIE,FERRARI,2
KUJAWSKO-POMORSKIE,FIAT,77
KUJAWSKO-POMORSKIE,FORD,382
KUJAWSKO-POMORSKIE,FORD/GERMAZ,1
KUJAWSKO-POMORSKIE,FORD-CNG-TECHNIK,1
KUJAWSKO-POMORSKIE,FORTHING,1
KUJAWSKO-POMORSKIE,HONDA,46
KUJAWSKO-POMORSKIE,HYUNDAI,260
KUJAWSKO-POMORSKIE,INFINITI,2
KUJAWSKO-POMORSKIE,INFINITY,1
